Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
5340000	-2201.071107	35	0.191300	0.139782	0.372838	0.324974	0.104399	0.139509	0.157704	0.060216	0.250000	0.250000	0.250000	0.250000	0.725734	8.552292	1.549653	3.370716	4.408443	0.223907	1.263162	9.850384	0.455036	5.202596	1.047843	1.509415	9.171099	0.016714	0.226864	5.100605	
5370000	-2204.070087	35	0.195433	0.123018	0.300694	0.385181	0.081633	0.127230	0.189589	0.055128	0.250000	0.250000	0.250000	0.250000	1.301668	0.690116	1.278733	1.051690	0.383815	3.351136	0.476235	4.917649	0.356092	7.233781	0.245213	1.061609	4.670623	0.078973	1.310621	0.665716	
5400000	-2203.028357	35	0.207401	0.118996	0.280081	0.342395	0.101212	0.111993	0.145772	0.056308	0.250000	0.250000	0.250000	0.250000	2.838726	0.195997	0.552495	4.333145	1.005280	0.908330	3.587709	0.337377	1.410388	0.147325	0.196609	3.905791	1.209555	2.455445	0.138263	6.070365	
5430000	-2207.423723	35	0.264116	0.131667	0.519802	0.294979	0.116249	0.103019	0.108590	0.047573	0.250000	0.250000	0.250000	0.250000	3.020181	0.319949	0.635435	0.212004	1.642462	1.036657	0.488066	8.086469	1.035436	3.420879	0.613929	6.213851	2.221222	0.130595	2.689107	0.033627	
5460000	-2203.233530	35	0.177536	0.121527	0.406397	0.270887	0.100435	0.172613	0.135725	0.072624	0.250000	0.250000	0.250000	0.250000	2.346921	0.065528	2.153529	0.819245	1.116743	0.234225	0.456648	0.233252	0.306106	3.032006	1.391369	5.868433	1.456972	0.184729	0.511619	1.855107	
5490000	-2203.217741	35	0.166668	0.129554	0.288586	0.390514	0.103966	0.162372	0.178865	0.076949	0.250000	0.250000	0.250000	0.250000	0.740861	1.433254	3.743029	0.027922	1.226776	6.957385	1.906522	0.670394	2.123187	0.094615	0.529476	9.149258	0.343498	7.474463	1.035388	0.731042	
5520000	-2200.068515	35	0.166419	0.119075	0.285552	0.292222	0.088879	0.151016	0.120491	0.070317	0.250000	0.250000	0.250000	0.250000	0.275985	0.702655	0.237265	5.367637	0.689055	6.863745	0.665165	2.347257	1.844908	0.086089	0.301139	4.947038	0.869205	7.245314	0.097614	4.528427	
5550000	-2202.748693	35	0.179652	0.133163	0.340744	0.264487	0.086732	0.121486	0.100123	0.061481	0.250000	0.250000	0.250000	0.250000	1.656918	0.670397	0.620780	8.907950	0.288336	7.671196	1.521460	3.847822	0.668648	5.593285	0.781996	0.384033	5.432436	0.015834	0.192064	4.114709	
5580000	-2203.932002	35	0.207365	0.105761	0.311164	0.381026	0.111194	0.134919	0.166782	0.067805	0.250000	0.250000	0.250000	0.250000	0.302211	0.675327	0.096331	8.508910	0.742353	9.458200	0.448067	5.417316	0.312606	2.469725	0.902057	0.137155	5.465112	0.041312	0.551706	4.295503	
5610000	-2202.562331	35	0.223061	0.135199	0.384905	0.314611	0.098804	0.151216	0.115231	0.053942	0.250000	0.250000	0.250000	0.250000	0.849780	6.696659	1.603470	0.951310	0.825957	2.619294	0.461688	1.616361	2.535779	0.035047	0.939395	0.562332	0.805590	0.737304	1.347299	0.956774	
5640000	-2201.784458	35	0.167516	0.158132	0.307069	0.270721	0.120601	0.146700	0.136638	0.056717	0.250000	0.250000	0.250000	0.250000	1.260104	0.868440	0.487956	3.551879	1.210499	6.570188	0.508892	1.079609	0.246241	1.843467	0.744226	5.666101	1.434543	0.257606	0.203509	0.822019	
5670000	-2200.705097	35	0.168980	0.144132	0.321224	0.253397	0.101613	0.148118	0.118303	0.069978	0.250000	0.250000	0.250000	0.250000	1.699017	1.766215	0.585632	2.594824	1.863613	0.208146	3.273651	0.639729	0.492816	5.181158	1.613764	8.366615	0.649907	6.437368	0.914282	3.851310	
5700000	-2202.468559	35	0.178566	0.109391	0.335169	0.278232	0.097082	0.148879	0.114454	0.047657	0.250000	0.250000	0.250000	0.250000	4.162381	0.039304	1.937888	0.799344	1.997457	0.142846	0.707912	6.835235	1.424055	1.985429	4.190645	0.080611	0.866681	0.226474	0.334347	3.440380	
5730000	-2201.125862	35	0.170353	0.125107	0.336856	0.309587	0.089102	0.124801	0.135021	0.042182	0.250000	0.250000	0.250000	0.250000	1.612293	3.853626	0.814039	6.030706	0.412703	3.297339	0.774729	2.823912	1.225241	1.712618	2.940300	0.829210	0.201468	3.900452	0.675269	6.629269	
5760000	-2205.370140	35	0.179615	0.156163	0.427044	0.331524	0.096477	0.173785	0.124664	0.051286	0.250000	0.250000	0.250000	0.250000	0.699334	2.477314	4.467663	0.070877	0.358177	3.203299	0.305936	9.276698	1.025281	0.196061	0.508148	5.775621	0.205129	6.934719	0.644287	1.243986	
5790000	-2206.879445	35	0.129134	0.124711	0.251367	0.256743	0.074177	0.204572	0.133914	0.080572	0.250000	0.250000	0.250000	0.250000	1.209013	0.402242	0.137872	5.774156	1.271479	3.717356	0.490795	2.630809	0.596123	5.228398	0.779773	1.156982	0.701449	3.567839	0.861135	3.610735	
5820000	-2200.566146	35	0.201294	0.113430	0.305666	0.293831	0.094215	0.135263	0.128587	0.068434	0.250000	0.250000	0.250000	0.250000	0.829471	3.719455	0.582847	7.226685	2.420740	1.901465	0.724665	3.310423	0.443380	1.822646	0.832479	8.611560	0.358421	7.596211	0.336460	2.951836	
5850000	-2202.581498	35	0.166507	0.117706	0.281335	0.224602	0.087089	0.151025	0.104610	0.075222	0.250000	0.250000	0.250000	0.250000	0.742810	0.622385	1.028091	0.192351	0.525496	2.097226	0.675796	2.321670	0.171768	7.311681	0.332864	2.121516	0.797858	4.186295	0.194781	4.135584	
5880000	-2202.396208	35	0.146458	0.119456	0.261889	0.324129	0.100675	0.154189	0.114848	0.068058	0.250000	0.250000	0.250000	0.250000	0.065829	2.130422	1.322963	0.095589	0.564661	2.828979	3.732564	0.251180	0.667748	9.753344	0.063405	7.319248	0.157396	8.873652	1.847772	0.075143	
5910000	-2203.797316	35	0.181259	0.139651	0.323300	0.426174	0.117137	0.157827	0.175061	0.065772	0.250000	0.250000	0.250000	0.250000	0.189777	6.832884	0.336833	1.403876	0.865565	1.642165	3.831811	0.419881	0.968834	5.308190	1.323142	1.032903	0.839922	4.851060	0.521475	7.606009	
5940000	-2201.386842	35	0.150736	0.118651	0.290966	0.357670	0.091668	0.165876	0.145956	0.065039	0.250000	0.250000	0.250000	0.250000	1.600903	7.692559	1.017462	3.834198	0.819708	4.901043	0.962900	1.241604	0.057768	5.784230	0.492152	2.988397	1.175927	0.428644	1.338524	0.107094	
5970000	-2206.365292	35	0.139860	0.102400	0.210652	0.339217	0.103749	0.162486	0.155316	0.087705	0.250000	0.250000	0.250000	0.250000	1.033150	4.048064	0.957796	0.093738	0.736792	3.736360	0.356834	6.272486	0.207083	4.210025	1.027737	9.268823	3.566848	0.025547	1.008889	4.788608	
6000000	-2206.174825	35	0.149106	0.143014	0.343513	0.381946	0.097761	0.118509	0.139294	0.042583	0.250000	0.250000	0.250000	0.250000	0.587411	5.874372	7.277187	0.013177	0.262780	8.064900	0.891629	2.637168	1.283388	1.548355	0.974158	8.144581	0.427705	2.536726	0.612086	6.879431	
6030000	-2202.527751	35	0.192903	0.132559	0.332959	0.428335	0.092405	0.157276	0.166098	0.062918	0.250000	0.250000	0.250000	0.250000	0.729748	7.733249	7.610027	0.019881	0.254645	9.386804	0.774013	3.081665	1.077524	0.588663	0.150274	7.673704	0.063670	4.458472	1.044958	7.649526	
6060000	-2202.195302	35	0.159264	0.118942	0.245395	0.303440	0.100557	0.159329	0.118614	0.058848	0.250000	0.250000	0.250000	0.250000	0.838674	6.534867	1.272257	2.468762	2.336956	1.706993	1.545095	0.357587	0.259523	8.022187	1.385359	7.233977	1.497980	0.074947	0.133049	4.062522	
6090000	-2202.689202	35	0.169513	0.119744	0.256158	0.376684	0.095578	0.165607	0.131732	0.065700	0.250000	0.250000	0.250000	0.250000	0.885263	1.490514	0.451269	2.936951	0.437733	3.086215	4.187874	0.682665	1.643667	0.688789	0.206350	4.320231	0.072529	1.449544	0.110886	3.127157	
6120000	-2200.508872	35	0.169478	0.112943	0.304192	0.274146	0.095498	0.154448	0.127885	0.058517	0.250000	0.250000	0.250000	0.250000	0.140728	8.249886	0.475554	1.315323	1.431523	1.622092	0.551304	2.586083	0.288524	1.210279	1.346529	1.900811	1.141760	2.118856	0.401325	8.282618	
6150000	-2200.338874	35	0.188612	0.132959	0.394638	0.295391	0.102345	0.128930	0.127867	0.056464	0.250000	0.250000	0.250000	0.250000	0.813945	4.655422	0.823770	2.213853	3.298809	0.153137	0.206149	3.111338	4.537948	0.018671	0.467436	0.761381	0.907943	5.198803	0.395867	5.881000	
6180000	-2200.037856	35	0.194963	0.126132	0.338864	0.296342	0.100205	0.156276	0.120436	0.061820	0.250000	0.250000	0.250000	0.250000	2.167863	1.179267	0.414355	0.304145	3.437538	0.130322	1.926971	2.139815	0.491385	3.510871	0.680894	6.878111	0.526605	9.387654	0.422273	1.684729	
6210000	-2201.990537	35	0.163190	0.136917	0.301010	0.280817	0.093082	0.120622	0.144217	0.042705	0.250000	0.250000	0.250000	0.250000	0.531131	7.380626	1.299456	0.512802	1.195147	2.283076	0.587869	1.530855	0.689343	2.766954	0.276804	6.924661	0.376410	3.444922	0.442023	0.194906	
6240000	-2203.267995	35	0.187659	0.147182	0.267093	0.242566	0.102052	0.123850	0.121332	0.053901	0.250000	0.250000	0.250000	0.250000	0.737405	8.195469	0.385238	7.425518	0.845106	6.397166	0.554733	4.152067	1.366052	1.056442	0.171018	5.169452	0.738979	3.845185	0.315071	7.369584	
6270000	-2203.692224	35	0.186093	0.134930	0.230841	0.333016	0.105338	0.137342	0.118940	0.073858	0.250000	0.250000	0.250000	0.250000	2.680166	0.069123	0.367355	3.767269	2.049122	0.740995	0.472655	2.788435	0.249082	6.423862	0.522936	2.717255	0.573688	4.468728	0.859044	1.227363	
6300000	-2203.842738	35	0.180412	0.109703	0.326995	0.333087	0.121303	0.144357	0.151890	0.072854	0.250000	0.250000	0.250000	0.250000	0.195346	4.492144	2.473496	0.474138	1.896462	0.799272	3.526496	0.052659	0.661194	1.855597	1.456717	4.578865	0.302433	7.730696	0.352131	0.549654	
6330000	-2201.602109	35	0.201174	0.119869	0.391907	0.283711	0.117727	0.132737	0.120955	0.059517	0.250000	0.250000	0.250000	0.250000	0.085865	9.566324	0.818355	1.807447	3.768364	0.183860	0.638703	7.826975	0.330290	4.333059	0.792791	4.713513	0.508317	8.963383	0.707035	7.207725	
6360000	-2203.258922	35	0.166009	0.124379	0.276290	0.225872	0.103013	0.147835	0.104040	0.047562	0.250000	0.250000	0.250000	0.250000	0.384587	2.648830	0.641725	6.488953	2.802707	0.380985	0.305391	3.977353	0.753080	5.026002	1.054801	0.187714	0.562747	6.065229	0.971282	3.672576	
6390000	-2206.949078	35	0.165365	0.163406	0.231131	0.294216	0.102160	0.169796	0.156890	0.053935	0.250000	0.250000	0.250000	0.250000	1.114308	0.807008	0.254395	0.338395	3.723507	0.066629	2.149085	0.363098	0.611494	4.350749	0.673246	6.735903	1.537421	0.050179	0.128290	3.727958	
6420000	-2201.230122	35	0.157756	0.130254	0.268968	0.282999	0.083283	0.123537	0.134309	0.058665	0.250000	0.250000	0.250000	0.250000	1.385476	1.082519	0.325362	0.274956	2.911761	0.059688	1.625410	0.371574	0.931777	4.107020	0.411584	7.274082	0.806711	0.485386	0.781944	2.024703	
6450000	-2202.716880	35	0.204167	0.106082	0.358153	0.346828	0.082783	0.107209	0.131027	0.057723	0.250000	0.250000	0.250000	0.250000	0.583626	3.992706	0.474580	2.393856	0.740983	0.811230	0.532965	5.941816	0.310395	1.121107	1.570238	6.838869	0.727836	7.447609	0.567512	4.466571	
6480000	-2202.594101	35	0.148157	0.120619	0.330900	0.311260	0.096229	0.126427	0.120216	0.060354	0.250000	0.250000	0.250000	0.250000	0.348240	3.247897	1.253727	0.394789	0.280144	1.435971	1.053810	6.218593	1.097647	0.685208	0.434880	9.737095	0.708990	0.198185	1.589067	0.615060	
6510000	-2200.833807	35	0.202796	0.127201	0.368775	0.252082	0.100061	0.132798	0.128052	0.066119	0.250000	0.250000	0.250000	0.250000	1.989489	1.754252	0.432356	4.715276	1.359627	2.205521	9.223182	0.020281	1.784054	0.224165	1.430250	4.177070	0.206046	3.497854	0.087555	7.650369	
6540000	-2200.949691	35	0.169161	0.132223	0.266322	0.262845	0.102308	0.156645	0.112670	0.066616	0.250000	0.250000	0.250000	0.250000	0.928707	1.367542	0.562024	8.656212	2.079100	0.310067	3.138767	0.411419	0.708807	1.617006	4.417459	0.071325	0.614410	1.077662	0.431419	2.185986	
6570000	-2205.551389	35	0.181255	0.116461	0.349935	0.236838	0.128978	0.147378	0.092054	0.069522	0.250000	0.250000	0.250000	0.250000	4.327093	0.041243	0.698426	9.804844	4.199081	0.173987	2.086193	0.675324	0.674695	2.210534	2.884502	0.081295	0.410638	1.660286	0.330147	0.359220	
6600000	-2205.133356	35	0.162263	0.175822	0.362060	0.205300	0.110841	0.161040	0.102330	0.056030	0.250000	0.250000	0.250000	0.250000	4.327093	0.041243	0.698426	9.804844	4.199081	0.173987	2.086193	0.675324	0.674695	2.210534	2.884502	0.081295	0.410638	1.660286	0.330147	0.359220	
6630000	-2203.281680	35	0.159431	0.125273	0.222811	0.313450	0.106766	0.117381	0.144422	0.067180	0.250000	0.250000	0.250000	0.250000	2.687888	0.034030	0.524231	9.794222	2.736407	0.047151	2.072550	1.351798	0.320964	2.897992	3.985402	0.047258	0.825298	1.919508	0.581796	1.595044	
6660000	-2200.712639	35	0.152732	0.128537	0.258822	0.320571	0.105869	0.134544	0.137253	0.063686	0.250000	0.250000	0.250000	0.250000	1.107512	9.440315	1.005107	0.065782	0.204706	4.844864	1.894888	2.204990	0.537990	0.737033	0.315660	0.447992	0.857001	2.265708	0.400758	4.655548	
6690000	-2208.473383	35	0.192025	0.081684	0.301597	0.304906	0.112991	0.142538	0.113392	0.063313	0.250000	0.250000	0.250000	0.250000	1.503890	3.715343	4.696739	0.040861	1.489205	3.311149	0.600255	2.756823	2.422330	0.215059	0.474004	0.298101	0.494077	2.498640	0.783744	7.398159	
6720000	-2202.004593	35	0.204013	0.130754	0.328456	0.350382	0.123853	0.143291	0.127054	0.064752	0.250000	0.250000	0.250000	0.250000	0.754464	2.912644	0.919579	5.417279	2.091108	0.192825	1.324164	4.232030	0.732911	3.740144	1.347353	0.721858	0.304801	2.237116	1.556625	0.023081	
6750000	-2200.192579	35	0.179204	0.115829	0.336501	0.337801	0.094506	0.143830	0.125919	0.065829	0.250000	0.250000	0.250000	0.250000	1.016794	4.240489	1.704536	1.218334	1.213020	5.880182	3.233013	0.161765	0.236917	8.640690	2.673636	0.273056	1.640032	6.769907	0.865067	1.105225	
6780000	-2204.737110	35	0.194042	0.120679	0.237638	0.289936	0.086630	0.128335	0.148873	0.063600	0.250000	0.250000	0.250000	0.250000	1.052432	0.495883	0.738421	1.469256	1.052870	5.691895	6.800448	0.067309	0.441703	9.340848	2.994029	0.110444	1.404772	8.005962	0.911308	2.374545	
6810000	-2201.849841	35	0.188717	0.127318	0.321268	0.410478	0.094466	0.132548	0.148586	0.070501	0.250000	0.250000	0.250000	0.250000	2.894079	0.161572	0.469665	0.484031	1.637433	0.191209	2.421804	1.179882	0.683821	4.713030	1.167471	3.423642	7.620144	0.026168	2.206833	0.071209	
6840000	-2205.335766	35	0.210919	0.118313	0.340640	0.397160	0.103700	0.143252	0.193521	0.062187	0.250000	0.250000	0.250000	0.250000	2.894079	0.161572	0.469665	0.484031	1.637433	0.191209	2.421804	1.179882	0.683821	4.713030	1.167471	3.423642	7.620144	0.026168	2.206833	0.071209	
6870000	-2207.582716	35	0.189479	0.180745	0.269818	0.258353	0.102582	0.160178	0.121471	0.058237	0.250000	0.250000	0.250000	0.250000	0.204835	6.927635	1.324762	4.216455	0.696427	3.122959	0.306553	5.801256	1.358578	3.119438	0.873687	0.327752	0.877753	2.593074	0.074722	0.821710	
6900000	-2203.379208	35	0.159921	0.111172	0.342627	0.329764	0.110275	0.161146	0.136289	0.069828	0.250000	0.250000	0.250000	0.250000	0.955662	0.510836	1.091504	0.430012	0.307000	6.000814	0.614802	4.814812	0.674722	2.274403	1.345240	0.367506	0.548132	7.058810	0.508399	2.916021	
6930000	-2202.028350	35	0.143259	0.140889	0.265924	0.304007	0.089664	0.139816	0.143298	0.045907	0.250000	0.250000	0.250000	0.250000	1.361873	0.174925	1.361962	1.029996	1.237952	7.980544	0.427550	3.116528	1.509957	3.072074	0.843606	1.391590	1.107792	0.401140	0.125499	0.241716	
6960000	-2201.503793	35	0.166613	0.130928	0.314730	0.292554	0.106098	0.156763	0.120847	0.080717	0.250000	0.250000	0.250000	0.250000	1.949633	0.423918	0.275996	1.297899	0.483260	4.254300	0.948997	3.140351	0.366172	2.709682	2.113974	0.151558	0.986720	0.709657	0.549137	8.861416	
6990000	-2207.534483	35	0.200315	0.121123	0.275769	0.224170	0.106433	0.160098	0.092804	0.050237	0.250000	0.250000	0.250000	0.250000	0.658627	1.264429	0.492152	0.564559	0.717321	4.712998	1.483365	0.359740	0.438346	5.745024	0.459328	1.405131	1.145968	3.443856	0.609948	7.952072	
7020000	-2204.168314	35	0.193123	0.155895	0.370163	0.267231	0.131287	0.119027	0.113854	0.065441	0.250000	0.250000	0.250000	0.250000	1.538478	2.909831	0.570232	6.515878	1.812669	0.418312	1.353776	1.407683	1.236339	4.330424	5.356809	0.025145	0.123684	9.265820	0.876912	0.316930	
7050000	-2206.898636	35	0.216152	0.142948	0.470284	0.306666	0.094621	0.176996	0.114023	0.081761	0.250000	0.250000	0.250000	0.250000	0.386167	1.757740	1.795214	0.236949	0.366049	8.245982	0.551336	9.673247	0.789208	1.647753	2.037469	0.807266	0.645505	3.146464	0.146478	0.770100	
7080000	-2203.288973	35	0.194631	0.124220	0.267015	0.291426	0.130324	0.125658	0.117401	0.058124	0.250000	0.250000	0.250000	0.250000	2.907189	0.118934	0.093793	8.307974	0.474353	9.731544	3.579106	0.111774	0.947026	3.075816	0.562492	4.082345	6.578612	0.011301	1.443006	0.654334	
7110000	-2202.938428	35	0.207659	0.142197	0.325852	0.362246	0.100239	0.124954	0.150001	0.069640	0.250000	0.250000	0.250000	0.250000	0.075734	8.042176	0.737014	1.420053	0.444553	7.135096	1.240691	0.349646	0.950264	3.902269	0.572252	0.137167	2.310244	0.031475	0.395539	9.613342	
7140000	-2202.443764	35	0.161564	0.116851	0.312759	0.298260	0.098879	0.175099	0.116034	0.075651	0.250000	0.250000	0.250000	0.250000	1.415818	3.781725	0.795153	5.314717	1.529766	0.266421	0.689267	2.055101	0.941240	2.174078	4.298427	0.043219	0.356631	4.254621	0.119917	0.868575	
7170000	-2203.984226	35	0.178228	0.108369	0.308756	0.347832	0.105121	0.152275	0.171029	0.056825	0.250000	0.250000	0.250000	0.250000	5.221599	0.124192	0.164034	3.807417	0.187022	5.471410	1.212331	0.963899	0.117329	2.137661	3.981687	0.042595	1.542276	0.201715	0.420804	8.498879	
7200000	-2201.610462	35	0.195831	0.157858	0.344245	0.276781	0.117091	0.140320	0.131503	0.049402	0.250000	0.250000	0.250000	0.250000	2.763727	0.270256	0.675529	2.939966	0.703083	8.339522	0.405639	4.895467	0.725548	4.297839	2.241165	0.069239	1.068385	6.398170	0.670038	4.939872	
7230000	-2202.691766	35	0.181893	0.119784	0.322304	0.418039	0.105315	0.131395	0.160493	0.077150	0.250000	0.250000	0.250000	0.250000	1.796139	2.596845	0.888315	1.122438	6.213757	0.064038	0.233156	6.400075	2.002460	0.099607	0.568769	9.420557	0.521541	3.393191	0.190276	9.058289	
7260000	-2201.433225	35	0.176435	0.118508	0.390752	0.295210	0.093903	0.160602	0.119739	0.061490	0.250000	0.250000	0.250000	0.250000	0.494853	0.882572	1.081114	6.845177	1.305945	7.126141	0.326170	2.578494	0.453681	3.128130	0.144098	5.039800	0.483429	2.998901	0.781987	6.102847	
7290000	-2208.203678	35	0.228058	0.103604	0.321381	0.342807	0.136276	0.154410	0.114841	0.088952	0.250000	0.250000	0.250000	0.250000	0.239054	5.379702	1.251434	0.173694	2.548750	0.162151	2.609214	0.262642	0.599340	5.425190	0.594848	0.554659	0.067103	1.349939	0.079289	4.439782	
7320000	-2204.296501	35	0.160929	0.117617	0.337419	0.349062	0.110290	0.133428	0.165460	0.048021	0.250000	0.250000	0.250000	0.250000	0.946176	3.167802	0.438041	3.250351	0.299304	2.185866	0.591993	2.293544	0.285379	4.375412	0.183612	3.333889	5.691267	0.034062	0.433672	5.074679	
7350000	-2206.823533	35	0.175604	0.137170	0.422554	0.225398	0.122756	0.140991	0.089881	0.062512	0.250000	0.250000	0.250000	0.250000	1.903931	0.385175	0.954029	9.572169	0.448777	2.667695	0.755946	4.041918	0.545164	6.768132	0.399141	4.599089	0.507865	7.163681	0.565278	0.949318	
7380000	-2203.985122	35	0.222470	0.108411	0.318633	0.347718	0.110645	0.119025	0.112969	0.060719	0.250000	0.250000	0.250000	0.250000	3.734035	0.084704	0.292922	4.361130	0.229778	7.249782	0.800723	2.716488	0.373603	2.863134	0.868864	5.486091	1.953175	0.644330	1.065013	1.882609	
7410000	-2207.889659	35	0.237069	0.156747	0.353121	0.247168	0.115309	0.125022	0.115441	0.080279	0.250000	0.250000	0.250000	0.250000	5.110395	0.059048	6.691042	0.043272	2.549136	2.574541	3.434880	0.109019	0.577114	1.151764	0.231999	9.651257	1.159552	1.982633	0.761687	0.655639	
7440000	-2201.342974	35	0.188885	0.110599	0.305397	0.399919	0.097442	0.147267	0.146685	0.071326	0.250000	0.250000	0.250000	0.250000	5.110395	0.059048	6.691042	0.043272	2.549136	2.574541	3.434880	0.109019	0.577114	1.151764	0.231999	9.651257	1.159552	1.982633	0.761687	0.655639	
7470000	-2203.763832	35	0.177414	0.117716	0.235047	0.330516	0.119817	0.148548	0.133759	0.057335	0.250000	0.250000	0.250000	0.250000	2.836257	0.079345	6.817753	0.036093	0.763282	1.517835	2.697849	0.166237	0.953003	0.420241	0.725156	9.973811	1.320078	2.722925	0.376468	1.379643	
7500000	-2202.415067	35	0.173931	0.111187	0.247945	0.426414	0.095532	0.146437	0.146800	0.072677	0.250000	0.250000	0.250000	0.250000	0.981424	1.897001	8.218793	0.012772	1.009356	3.280025	2.573136	0.389061	1.190275	0.411502	0.446591	9.716445	0.030923	1.899225	0.480099	1.211974	
7530000	-2201.757255	35	0.200242	0.135130	0.383587	0.332585	0.107435	0.140283	0.160324	0.062865	0.250000	0.250000	0.250000	0.250000	2.958101	0.059007	1.222542	0.857238	0.991312	2.366477	0.753586	0.591818	0.736731	3.640365	0.232383	9.979983	2.250874	0.560220	0.700170	1.020863	
7560000	-2201.577423	35	0.201018	0.126901	0.301945	0.310667	0.119405	0.146640	0.135412	0.061785	0.250000	0.250000	0.250000	0.250000	0.678480	7.881423	2.082339	0.146098	1.045007	0.751120	8.800504	0.033000	0.063601	1.904581	1.048302	0.326837	0.880625	0.257801	1.351428	7.394013	
7590000	-2203.595831	35	0.208730	0.105259	0.372674	0.365936	0.108109	0.126429	0.151099	0.052348	0.250000	0.250000	0.250000	0.250000	0.840875	4.719910	0.600005	7.020690	1.541960	1.602850	0.329410	2.852892	2.385970	1.917275	0.255851	7.097428	0.573451	1.323927	1.994564	0.101542	
7620000	-2201.956570	35	0.218021	0.138937	0.375386	0.368613	0.091228	0.145622	0.153830	0.054839	0.250000	0.250000	0.250000	0.250000	0.646832	1.350949	1.200641	2.217561	0.634862	2.712904	1.196324	2.063750	0.800273	5.033889	0.210023	1.245194	1.005007	7.491237	2.160942	0.207224	
7650000	-2202.708448	35	0.156423	0.147250	0.276086	0.283504	0.082022	0.122182	0.128638	0.054780	0.250000	0.250000	0.250000	0.250000	0.923595	0.412135	2.837854	0.900022	2.739907	0.087023	1.134855	0.341769	0.863050	0.067043	0.126505	4.937397	1.592416	5.402591	1.422947	0.491951	
7680000	-2202.493520	35	0.238011	0.112712	0.391962	0.344224	0.100779	0.128983	0.134177	0.064597	0.250000	0.250000	0.250000	0.250000	0.349309	6.751969	0.742811	4.962839	4.922414	0.072834	0.374358	6.407766	0.935913	8.506545	0.295290	5.596190	1.459575	4.747009	0.482293	5.540978	
